,World,Brazil,China,United States
1990,3.89632685053644,1.31314887486631,1.91454256354691,19.4073462781875
1991,3.85811403206164,1.34005976204809,2.00053876501156,19.003403417648
1992,3.80181088360468,1.33334795801869,2.07574443977098,19.0228603507021
1993,3.76789072057779,1.35861405713646,2.24484063677404,19.2183334038681
1994,3.73138401875804,1.38215522190791,2.32219224976612,19.2562118528766
1995,3.78096527167583,1.47558031990738,2.56347859285972,19.2169086443491
1996,3.80454822244103,1.58042970655683,2.5218758983204,19.5753802980022
1997,3.81474861249341,1.66915156639637,2.54790155071845,20.3308552503695
1998,3.78172721660205,1.69896125465626,2.60583685941696,20.2663002892835
1999,3.74778319404617,1.73477694181478,2.51741988529098,20.1011324541284
2000,3.81578807455953,1.78349556716035,2.65041242787957,20.4698066603918
2001,3.82982188806873,1.79213640643858,2.77476117466682,20.1715306146243
2002,3.83083481124684,1.76067069142823,2.97567952092608,19.4455490036168
2003,3.95740055830109,1.70186292670222,3.42743725260012,19.5064994461044
2004,4.08516245196244,1.77845580136677,3.9541074584563,19.5976305014211
2005,4.18375102507342,1.77566775359549,4.46770002977058,19.46926248422
2006,4.26574321147095,1.77745356897497,4.91027613220527,18.9459137521463
2007,4.37188828794566,1.84799773777837,5.30636601507814,19.0429135193113
2008,4.35141529969183,1.93919920983155,5.43507562169489,18.2784944927598
2009,4.25058662733389,1.79932351502126,5.79831875382626,16.8086986187732
2010,4.45410567200078,2.02660002948041,6.33541769065302,17.4317384856241
2011,4.53972593137246,2.11070141598389,6.90134442946652,16.6042181730945
2012,4.54569260266879,2.27140323689344,7.04618267539082,15.7897826401987
2013,4.581344238302,2.4134232194084,7.32414711459464,16.1111844319086
2014,4.5368896630102,2.51460176559425,7.29423550644745,16.0409210313094
2015,4.45589913252508,2.36534062149377,7.14644935672822,15.5600349639355
2016,4.40721393182914,2.16127283490961,7.11538500511605,15.1498852011993
2017,4.42251792768941,2.18934835043912,7.23098503140634,14.8232608676439
2018,4.47537870437426,2.06498086163178,7.48733189390915,15.2225476514566
2019,4.43567311234666,2.05068507848387,7.60593696057347,14.6734106066885
